"","n","Coefficient","value","rescale"
"286","mkd","a",-0.181500162421483,1.59674386317032
"287","mkd","b",0.0294033862404775,1.59674386317032
"288","mkd","c",-0.00118915215226186,1.59674386317032
"289","mli","a",-3.97479127494799,1.71997775805017
"290","mli","b",0.297704628524781,1.71997775805017
"291","mli","c",-0.00556086346988825,1.71997775805017
"292","mlt","a",-2.94352677381116,3.91868894513992
"293","mlt","b",0.322174328459759,3.91868894513992
"294","mlt","c",-0.00881315932691322,3.91868894513992
"295","mmr","a",-3.18956160428614,2.33415098038774
"296","mmr","b",0.29038991884673,2.33415098038774
"297","mmr","c",-0.00660260063420332,2.33415098038774
"298","mne","a",-0.163281044366506,1.52898707268147
"299","mne","b",0.0260641572455637,1.52898707268147
"300","mne","c",-0.00103889203644802,1.52898707268147
"301","mng","a",0.00858024360594358,1.36393424943543
"302","mng","b",0.00726978893364027,1.36393424943543
"303","mng","c",-0.00377401103018882,1.36393424943543
"304","moz","a",-3.16235307071091,2.09731858845494
"305","moz","b",0.277385902941321,2.09731858845494
"306","moz","c",-0.00607421715402228,2.09731858845494
"307","mrt","a",-4.14237423959442,1.68070117658518
"308","mrt","b",0.302616848176215,1.68070117658518
"309","mrt","c",-0.00551252534951972,1.68070117658518
"310","mus","a",-2.88309284882015,1.91764994792969
"311","mus","b",0.251364616662738,1.91764994792969
"312","mus","c",-0.0054690458585509,1.91764994792969
"313","mys","a",-3.36089406720944,1.85508088042821
"314","mys","b",0.275242279794487,1.85508088042821
"315","mys","c",-0.00562421881832795,1.85508088042821
"316","nam","a",-3.0909034798785,2.41350662013951
"317","nam","b",0.287475268399067,2.41350662013951
"318","nam","c",-0.0066778587110887,2.41350662013951
"319","ner","a",-3.91646748967203,1.78245974046146
"320","ner","b",0.299588445842039,1.78245974046146
"321","ner","c",-0.00571667116327075,1.78245974046146
"322","nga","a",-3.57829811065118,1.86765874412317
"323","nga","b",0.287895077354552,1.86765874412317
"324","nga","c",-0.00577957086591663,1.86765874412317
"325","nic","a",-3.34497577131082,1.98891486244097
"326","nic","b",0.282310687375925,1.98891486244097
