"","n","Coefficient","value","rescale"
"339","nzl","c",-0.00209363022071075,8.33689654722049
"340","omn","a",-3.75337289724053,1.74496725820333
"341","omn","b",0.287123196027364,1.74496725820333
"342","omn","c",-0.00547783114313536,1.74496725820333
"343","pak","a",-3.1297993079564,2.86901017896359
"344","pak","b",0.305946731139977,2.86901017896359
"345","pak","c",-0.007471991957697,2.86901017896359
"346","pan","a",-3.15893778874326,1.76160217306393
"347","pan","b",0.257006123862204,1.76160217306393
"348","pan","c",-0.00521509622548864,1.76160217306393
"349","per","a",-2.27549946525866,3.82465272210391
"350","per","b",0.261934565366601,3.82465272210391
"351","per","c",-0.00753562603840351,3.82465272210391
"352","phl","a",-3.26244273249279,1.72862707497708
"353","phl","b",0.26049293175723,1.72862707497708
"354","phl","c",-0.00518691395570744,1.72862707497708
"355","pol","a",-0.270170819171752,1.87598734272977
"356","pol","b",0.0588926901741639,1.87598734272977
"357","pol","c",-0.00319164751905663,1.87598734272977
"358","prt","a",-2.26906659706026,4.7326021884563
"359","prt","b",0.274754638365386,4.7326021884563
"360","prt","c",-0.00831587718306773,4.7326021884563
"361","pry","a",-2.85024019842963,1.9849841763318
"362","pry","b",0.251524896215156,1.9849841763318
"363","pry","c",-0.00553972509144581,1.9849841763318
"364","qat","a",-3.67234371818308,1.82959059379428
"365","qat","b",0.28892168207765,1.82959059379428
"366","qat","c",-0.00567076651358823,1.82959059379428
"367","rou","a",-0.271720295018884,1.82437969847712
"368","rou","b",0.0523621649435126,1.82437969847712
"369","rou","c",-0.00251340696664966,1.82437969847712
"370","row","a",-2.8881676789139,2.10960970784933
"371","row","b",0.259785921428624,2.10960970784933
"372","row","c",-0.00583349603909515,2.10960970784933
"373","rus","a",-0.0898791834920843,1.52112599672424
"374","rus","b",0.0371853111216347,1.52112599672424
"375","rus","c",-0.00362580022725745,1.52112599672424
"376","rwa","a",-2.41626072542534,2.34137236905027
"377","rwa","b",0.237625289154436,2.34137236905027
"378","rwa","c",-0.00583600143424781,2.34137236905027
"379","sau","a",-3.29750488108087,2.00441202788205
"380","sau","b",0.279043970937967,2.00441202788205
"381","sau","c",-0.0058936940902942,2.00441202788205
"382","sdn","a",-3.87357852466735,1.72618318586698
"383","sdn","b",0.291736890059243,1.72618318586698
"384","sdn","c",-0.00547939167623573,1.72618318586698
"385","sen","a",-3.58043810741298,1.70189563533251
"386","sen","b",0.275215709115693,1.70189563533251
"387","sen","c",-0.0052750170012839,1.70189563533251
"388","sgp","a",-3.40826408974943,1.7180460653445
"389","sgp","b",0.267482773715782,1.7180460653445
"390","sgp","c",-0.00523480580466266,1.7180460653445
"391","slb","a",-3.4712916221473,1.65958258954077
"392","slb","b",0.266597033809454,1.65958258954077
"393","slb","c",-0.00510441124587782,1.65958258954077
"394","sle","a",-3.13839640199473,1.88315633664364
"395","sle","b",0.263106122369457,1.88315633664364
"396","sle","c",-0.00550360203205558,1.88315633664364
"397","slv","a",-3.31119673115671,1.84360709803587
"398","slv","b",0.270434116544398,1.84360709803587
"399","slv","c",-0.00551035765906302,1.84360709803587
"400","srb","a",-0.268202100014641,1.87121959137671
"401","srb","b",0.047642624552254,1.87121959137671
"402","srb","c",-0.00211118015125236,1.87121959137671
"403","stp","a",-3.51801390771574,1.70893140447334
"404","stp","b",0.272530216828073,1.70893140447334
"405","stp","c",-0.00526451153374335,1.70893140447334
"406","sur","a",-3.45051299269781,1.82193669100732
"407","sur","b",0.276641652924919,1.82193669100732
"408","sur","c",-0.00553303950671573,1.82193669100732
"409","svk","a",-0.264408121721327,1.81923374494812
